date,open,high,low,close,volume,marketcap,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
30/6/19,11931.99,12178.38,10799.01,10817.16,27256473494,1.92442E+11,7.93E+12,1.148651322,27146866.15,76.10943685,356682,68631991.64,76.10943685,2049.896552
29/6/19,12400.76,12400.91,11508.38,11959.37,29923961128,2.1274E+11,7.93E+12,1.255488209,25894830.35,63.60897078,407094,64293187.57,63.60897078,2497.509202
28/6/19,11162.17,12445.18,10914.49,12407.33,35087757766,2.20681E+11,7.87E+12,1.233317704,23373593.45,64.7378298,361050,56010016.17,64.7378298,2542.605634
27/6/19,13017.12,13311.14,10491.85,11182.81,39977475223,1.98879E+11,7.41E+12,1.240848794,28500796.5,71.31903113,399624,60773333.69,71.31903113,2421.963636
26/6/19,11778.58,13796.49,11755.6,13016.23,45105733173,2.31462E+11,7.41E+12,1.245764247,22019741.67,60.93153194,361385,53775192.23,60.93153194,2475.239726
25/6/19,11007.2,11790.92,11007.2,11790.92,24879684533,2.09648E+11,7.41E+12,1.215810192,25117669.41,64.67925027,388342,65193212.5,64.67925027,2194.022599
24/6/19,10853.74,11065.9,10610.43,11011.1,19271652365,1.95763E+11,7.41E+12,1.179403409,25190494.47,66.27542692,380088,66666505.44,66.27542692,2099.933702
23/6/19,10696.69,11246.14,10556.1,10855.37,20998326502,1.9297E+11,7.41E+12,1.209288709,20226564.53,57.12508518,354075,51933576.06,57.12508518,2511.170213
22/6/19,10175.92,11157.35,10107.04,10701.69,29995204861,1.90214E+11,7.41E+12,1.265748887,17513510.9,51.85485595,337741,48986990.18,51.85485595,2539.406015
21/6/19,9525.07,10144.56,9525.07,10144.56,20624008643,1.80293E+11,7.41E+12,1.245132021,17867971.3,54.12847294,330103,53038545.76,54.12847294,2292.381944
20/6/19,9273.06,9594.42,9232.48,9527.16,17846823784,1.69305E+11,7.41E+12,1.159557627,21205089.59,52.87630312,401032,65193212.5,52.87630312,2265.717514
19/6/19,9078.73,9299.62,9070.4,9273.52,15546809946,1.64781E+11,7.41E+12,1.236012356,19731135.84,49.97210497,394843,60036687.22,49.97210497,2422.349693
18/6/19,9335.47,9348.37,9004.9,9081.76,15848210536,1.61354E+11,7.41E+12,1.233756692,16427048.74,51.16313081,321072,48986990.18,51.16313081,2414.075188
17/6/19,8988.92,9416.41,8988.92,9320.35,15562951919,1.65573E+11,7.41E+12,1.175121715,15457865.43,52.35446575,295254,47882020.48,52.35446575,2271.184615
16/6/19,8841.44,9335.87,8814.56,8994.49,23348550311,1.59769E+11,7.41E+12,1.233728966,16603409.24,50.16832927,330954,53775192.23,50.16832927,2266.808219
15/6/19,8689.75,8859.13,8618.4,8838.38,18371033226,1.56982E+11,7.41E+12,1.290370444,18606947.15,51.06425697,364383,62246626.62,51.06425697,2156.112426
14/6/19,8230.9,8710.64,8183.39,8693.83,19831162906,1.54399E+11,7.46E+12,1.264188841,16302469.42,44.74115651,364373,55994233.74,44.74115651,2413.066225
