date,close
4/1/11,0.2989
5/1/11,0.299
6/1/11,0.298
7/1/11,0.32
8/1/11,0.3229
9/1/11,0.323
10/1/11,0.3266
11/1/11,0.3266
12/1/11,0.3188
13/1/11,0.3176
14/1/11,0.4
15/1/11,0.386
16/1/11,0.3868
17/1/11,0.3495
18/1/11,0.313
19/1/11,0.313
20/1/11,0.39
21/1/11,0.4199
22/1/11,0.4443
23/1/11,0.4424
24/1/11,0.4199
25/1/11,0.41
26/1/11,0.417
27/1/11,0.4212
28/1/11,0.446
29/1/11,0.439
30/1/11,0.4799
31/1/11,0.52
1/2/11,0.7
2/2/11,0.716
3/2/11,0.69
4/2/11,0.811
5/2/11,0.92
6/2/11,0.8997
7/2/11,0.89
8/2/11,0.918
9/2/11,1.09
10/2/11,0.9803
11/2/11,1.07
12/2/11,1.08
13/2/11,1.05
14/2/11,1.07
15/2/11,1.05
16/2/11,1.05
17/2/11,1.04
18/2/11,0.8989
19/2/11,0.949
20/2/11,0.85
21/2/11,0.8345
22/2/11,0.8702
23/2/11,0.9
24/2/11,0.9974
25/2/11,0.9111
26/2/11,0.958
27/2/11,0.89
28/2/11,0.86
1/3/11,0.9202
2/3/11,0.9399
3/3/11,0.9391
4/3/11,0.901
5/3/11,0.9103
6/3/11,0.8999
7/3/11,0.885
8/3/11,0.87
9/3/11,0.8645
10/3/11,0.9329
11/3/11,0.88
12/3/11,0.918
13/3/11,0.8925
14/3/11,0.8949
15/3/11,0.87
16/3/11,0.86
17/3/11,0.8254
18/3/11,0.8165
19/3/11,0.765
20/3/11,0.7411
21/3/11,0.759
22/3/11,0.809
23/3/11,0.8497
24/3/11,0.8669
25/3/11,0.8838
26/3/11,0.8552
27/3/11,0.82
28/3/11,0.799
29/3/11,0.7925
30/3/11,0.7897
31/3/11,0.7846
1/4/11,0.7741
2/4/11,0.782
3/4/11,0.779
4/4/11,0.68
5/4/11,0.71
6/4/11,0.74
7/4/11,0.7538
8/4/11,0.75
9/4/11,0.73
10/4/11,0.7369
11/4/11,0.77
12/4/11,0.86
13/4/11,0.9225
14/4/11,1
15/4/11,0.9899
16/4/11,1.05
17/4/11,1.11
18/4/11,1.16
19/4/11,1.2
20/4/11,1.14
21/4/11,1.21
22/4/11,1.41
23/4/11,1.7
24/4/11,1.63
25/4/11,1.56
26/4/11,1.79
27/4/11,1.9
28/4/11,2.21
29/4/11,2.88
30/4/11,3.5
1/5/11,3.03
2/5/11,3.2
3/5/11,3.41
4/5/11,3.41
5/5/11,3.33
6/5/11,3.45
7/5/11,3.64
8/5/11,3.87
9/5/11,3.8
10/5/11,5.81
11/5/11,5.5
12/5/11,6.3
13/5/11,8.2
14/5/11,7.2
15/5/11,6.99
16/5/11,8.03
17/5/11,7.19
18/5/11,6.88
19/5/11,6.81
20/5/11,5.59
21/5/11,6.12
22/5/11,6.69
23/5/11,7.15
24/5/11,7.42
25/5/11,8.4
26/5/11,8.8
27/5/11,8.5
28/5/11,8.3
29/5/11,8.43
30/5/11,8.8
31/5/11,8.74
1/6/11,9.57
2/6/11,10.6
3/6/11,14.29
4/6/11,18.89
5/6/11,16.7
6/6/11,18.55
7/6/11,23.92
8/6/11,29.6
9/6/11,28.92
10/6/11,23.95
11/6/11,14.65
12/6/11,18.55
13/6/11,19.84
14/6/11,19.28
15/6/11,19.49
16/6/11,17
17/6/11,15.68
18/6/11,16.89
19/6/11,17.51
20/6/11,17.51
21/6/11,17.51
22/6/11,17.51
23/6/11,17.51
24/6/11,17.51
25/6/11,17.51
26/6/11,16.45
27/6/11,16.75
28/6/11,16.95
29/6/11,16.85
30/6/11,16.1
1/7/11,15.4
2/7/11,15.4
3/7/11,15.44
4/7/11,13.86
5/7/11,12.91
6/7/11,14.78
7/7/11,14.78
8/7/11,14.31
9/7/11,14.38
10/7/11,14.9
11/7/11,14.21
12/7/11,14.01
13/7/11,13.95
14/7/11,13.99
15/7/11,13.81
16/7/11,13.72
17/7/11,13.16
18/7/11,13.48
19/7/11,13.85
20/7/11,13.69
21/7/11,13.61
22/7/11,13.7
23/7/11,13.68
24/7/11,13.98
25/7/11,14.05
26/7/11,13.88
27/7/11,13.94
28/7/11,13.49
29/7/11,13.5
30/7/11,13.53
31/7/11,13.35
1/8/11,13.09
2/8/11,12.05
3/8/11,9.26
4/8/11,10.75
5/8/11,9.8
6/8/11,6.55
7/8/11,7.9
8/8/11,7.8
9/8/11,9.99
10/8/11,9.98
11/8/11,9.46
12/8/11,9.46
13/8/11,10.13
14/8/11,10.8
15/8/11,11.15
16/8/11,10.96
17/8/11,10.95
18/8/11,10.83
19/8/11,11.65
20/8/11,11.45
21/8/11,11.31
22/8/11,10.9
23/8/11,10.94
24/8/11,10.85
25/8/11,9.66
26/8/11,8.18
27/8/11,8.59
28/8/11,9.07
29/8/11,8.97
30/8/11,8.79
31/8/11,8.2
1/9/11,8.21
2/9/11,8.64
3/9/11,8.48
4/9/11,8.18
5/9/11,7.61
6/9/11,6.86
7/9/11,7.19
8/9/11,6.53
9/9/11,5.03
10/9/11,4.77
11/9/11,5.86
12/9/11,6.08
13/9/11,5.8
14/9/11,5.62
15/9/11,4.84
16/9/11,4.82
17/9/11,4.77
18/9/11,5.2
19/9/11,5.46
20/9/11,6.11
21/9/11,5.61
22/9/11,5.43
23/9/11,5.55
24/9/11,5.47
25/9/11,5.33
26/9/11,4.87
27/9/11,4.92
28/9/11,4.77
29/9/11,4.78
30/9/11,5.14
1/10/11,5.03
2/10/11,5.03
3/10/11,5.02
4/10/11,4.96
5/10/11,4.87
6/10/11,4.73
7/10/11,4.27
8/10/11,4.01
9/10/11,4.1
10/10/11,4.1
11/10/11,3.93
12/10/11,4.15
13/10/11,4.05
14/10/11,3.99
15/10/11,3.84
16/10/11,3.56
17/10/11,2.56
18/10/11,2.42
19/10/11,2.27
20/10/11,2.35
21/10/11,2.57
22/10/11,3.16
23/10/11,3.17
24/10/11,2.55
25/10/11,2.77
26/10/11,2.77
27/10/11,3.04
28/10/11,3.19
29/10/11,3.58
30/10/11,3.27
31/10/11,3.25
1/11/11,3.15
2/11/11,3.25
3/11/11,3.15
4/11/11,3.11
5/11/11,2.97
6/11/11,2.96
7/11/11,3.01
8/11/11,3.04
9/11/11,2.95
10/11/11,2.84
11/11/11,3.08
12/11/11,3.03
13/11/11,3
14/11/11,2.22
15/11/11,2.33
16/11/11,2.56
17/11/11,2.25
18/11/11,2.05
19/11/11,2.2
20/11/11,2.2
21/11/11,2.29
22/11/11,2.33
23/11/11,2.33
24/11/11,2.43
25/11/11,2.51
26/11/11,2.47
27/11/11,2.48
28/11/11,2.55
29/11/11,2.75
30/11/11,2.97
1/12/11,3.06
2/12/11,3.12
3/12/11,2.79
4/12/11,2.83
5/12/11,2.88
6/12/11,3.03
7/12/11,2.99
8/12/11,2.98
9/12/11,2.97
10/12/11,3.05
11/12/11,3.25
12/12/11,3.14
13/12/11,3.25
14/12/11,3.15
15/12/11,3.2
16/12/11,3.2
17/12/11,3.2
18/12/11,3.19
19/12/11,3.52
20/12/11,3.95
21/12/11,3.89
22/12/11,3.89
23/12/11,3.95
24/12/11,3.94
25/12/11,4.22
26/12/11,4.02
27/12/11,4.07
28/12/11,4.19
29/12/11,4.17
30/12/11,4.25
31/12/11,4.72
1/1/12,5.27
2/1/12,5.22
3/1/12,4.88
4/1/12,5.57
5/1/12,6.95
6/1/12,6.7
7/1/12,6.81
8/1/12,7.11
9/1/12,6.33
10/1/12,6.36
11/1/12,6.9
12/1/12,6.8
13/1/12,6.41
14/1/12,6.75
15/1/12,7
16/1/12,6.68
17/1/12,5.6
18/1/12,5.92
19/1/12,6.36
20/1/12,6.49
21/1/12,6.18
22/1/12,6.31
23/1/12,6.36
24/1/12,6.29
25/1/12,5.75
26/1/12,5.34
27/1/12,5.29
28/1/12,5.63
29/1/12,5.38
30/1/12,5.49
31/1/12,5.48
1/2/12,6.08
2/2/12,6.1
3/2/12,5.96
4/2/12,5.87
5/2/12,5.69
6/2/12,5.45
7/2/12,5.69
8/2/12,5.6
9/2/12,5.83
10/2/12,5.91
11/2/12,5.6
12/2/12,5.51
13/2/12,5.26
14/2/12,4.46
15/2/12,4.33
16/2/12,4.27
17/2/12,4.41
18/2/12,4.22
19/2/12,4.39
20/2/12,4.36
21/2/12,4.27
22/2/12,4.42
23/2/12,5.01
24/2/12,5.03
25/2/12,4.77
26/2/12,4.92
27/2/12,4.96
28/2/12,4.87
29/2/12,4.86
1/3/12,4.92
2/3/12,4.7
3/3/12,4.61
4/3/12,4.82
5/3/12,4.98
6/3/12,4.99
7/3/12,4.94
8/3/12,4.93
9/3/12,4.86
10/3/12,4.83
11/3/12,4.91
12/3/12,4.89
13/3/12,5.27
14/3/12,5.38
15/3/12,5.33
16/3/12,5.34
17/3/12,5.22
18/3/12,5.28
19/3/12,4.69
20/3/12,4.84
21/3/12,4.81
22/3/12,4.7
23/3/12,4.69
24/3/12,4.68
25/3/12,4.55
26/3/12,4.62
27/3/12,4.81
28/3/12,4.79
29/3/12,4.81
30/3/12,4.86
31/3/12,4.91
1/4/12,4.83
2/4/12,4.97
3/4/12,4.95
4/4/12,4.91
5/4/12,4.92
6/4/12,4.95
7/4/12,4.69
8/4/12,4.79
9/4/12,4.87
10/4/12,4.84
11/4/12,4.93
12/4/12,4.92
13/4/12,4.94
14/4/12,4.96
15/4/12,4.97
16/4/12,4.93
17/4/12,4.98
18/4/12,5.12
19/4/12,5.14
20/4/12,5.35
21/4/12,5.26
22/4/12,5.2
23/4/12,4.96
24/4/12,5.1
25/4/12,5.13
26/4/12,5.1
27/4/12,5.11
28/4/12,4.98
29/4/12,4.9
30/4/12,4.95
1/5/12,5
2/5/12,5.07
3/5/12,5.13
4/5/12,5.07
5/5/12,5.08
6/5/12,5.05
7/5/12,5.06
8/5/12,5.05
9/5/12,5.04
10/5/12,4.85
11/5/12,4.96
12/5/12,4.95
13/5/12,4.93
14/5/12,5.01
15/5/12,5.04
16/5/12,5.09
17/5/12,5.1
18/5/12,5.12
19/5/12,5.1
20/5/12,5.09
21/5/12,5.1
22/5/12,5.1
23/5/12,5.14
24/5/12,5.12
25/5/12,5.15
26/5/12,5.1
27/5/12,5.14
28/5/12,5.14
29/5/12,5.15
30/5/12,5.14
31/5/12,5.18
1/6/12,5.27
2/6/12,5.25
3/6/12,5.21
4/6/12,5.27
5/6/12,5.44
6/6/12,5.46
7/6/12,5.59
8/6/12,5.63
9/6/12,5.56
10/6/12,5.47
11/6/12,5.57
12/6/12,5.7
13/6/12,5.93
14/6/12,5.95
15/6/12,6.5
16/6/12,6.4
17/6/12,6.16
18/6/12,6.31
19/6/12,6.5
20/6/12,6.67
21/6/12,6.68
22/6/12,6.55
23/6/12,6.43
24/6/12,6.35
25/6/12,6.3
26/6/12,6.42
27/6/12,6.65
28/6/12,6.61
29/6/12,6.65
30/6/12,6.69
1/7/12,6.63
2/7/12,6.76
3/7/12,6.45
4/7/12,6.51
5/7/12,6.67
6/7/12,6.65
7/7/12,6.76
8/7/12,6.8
9/7/12,7.02
10/7/12,7.2
11/7/12,7.15
12/7/12,7.76
13/7/12,7.67
14/7/12,7.54
15/7/12,7.62
16/7/12,8.5
17/7/12,8.8
18/7/12,9.11
19/7/12,8.87
20/7/12,8.52
21/7/12,8.85
22/7/12,8.41
23/7/12,8.45
24/7/12,8.6
25/7/12,8.8
26/7/12,8.9
27/7/12,8.9
28/7/12,8.89
29/7/12,8.71
30/7/12,9.1
31/7/12,9.35
1/8/12,9.55
2/8/12,10.53
3/8/12,10.97
4/8/12,10.98
5/8/12,10.87
6/8/12,10.86
7/8/12,11.1
8/8/12,11.06
9/8/12,11.06
10/8/12,11.39
11/8/12,11.51
12/8/12,11.62
13/8/12,12.04
14/8/12,12.19
15/8/12,13.25
16/8/12,13.5
17/8/12,11.58
18/8/12,11.61
19/8/12,8
20/8/12,10.1
21/8/12,9.92
22/8/12,9.81
23/8/12,10.1
24/8/12,10.6
25/8/12,10.52
26/8/12,10.61
27/8/12,10.95
28/8/12,10.94
29/8/12,10.92
30/8/12,10.78
31/8/12,10.16
1/9/12,9.97
2/9/12,10.2
3/9/12,10.53
4/9/12,10.38
5/9/12,11
6/9/12,11.18
7/9/12,11
8/9/12,11.04
9/9/12,11.02
10/9/12,11.17
11/9/12,11.33
12/9/12,11.36
13/9/12,11.4
14/9/12,11.67
15/9/12,11.75
16/9/12,11.87
17/9/12,11.89
18/9/12,12.25
19/9/12,12.57
20/9/12,12.28
21/9/12,12.37
22/9/12,12.24
23/9/12,12.19
